Loja,Item,Treino,Previsao
Loja_1,Item_1,34.09825611114502,0.0070059299468994
Loja_1,Item_2,21.529834747314453,0.0079960823059082
Loja_2,Item_3,21.99562811851501,0.0110862255096435
Loja_2,Item_4,21.723540544509888,0.0072524547576904
Loja_3,Item_5,23.55000257492065,0.0080585479736328
Loja_3,Item_6,4.318539381027222,0.0050108432769775
Loja_4,Item_7,20.95663332939148,0.009998083114624
Loja_4,Item_8,4.065297842025757,0.0060091018676757
Loja_5,Item_9,14.090421676635742,0.0092799663543701
Loja_5,Item_10,5.375019788742065,0.0051791667938232
Loja_6,Item_11,35.259483337402344,0.0069999694824218
Loja_6,Item_12,201.620640039444,0.0100300312042236
Loja_7,Item_13,25.339178562164307,0.0081791877746582
Loja_7,Item_14,4.654141426086426,0.0062544345855712
Loja_8,Item_15,26.66490912437439,0.008901834487915
Loja_8,Item_16,15.364990234375,0.0040934085845947
Loja_9,Item_17,38.313987493515015,0.0070202350616455
Loja_9,Item_18,12.211263179779053,0.0040228366851806
Loja_10,Item_19,107.65411043167114,0.0090036392211914
Loja_10,Item_20,195.4553725719452,0.0073037147521972
