Loja,Item,Treino,Previsao
Loja_1,Item_1,2.711693048477173,0.13008713722229
Loja_1,Item_2,2.692507028579712,0.1267070770263672
Loja_2,Item_3,2.6840264797210693,0.1425364017486572
Loja_2,Item_4,2.696458339691162,0.1170160770416259
Loja_3,Item_5,2.5928823947906494,0.1172795295715332
Loja_3,Item_6,2.67568039894104,0.1173615455627441
Loja_4,Item_7,2.943563461303711,0.1170251369476318
Loja_4,Item_8,2.692509889602661,0.1587789058685302
Loja_5,Item_9,2.843252420425415,0.1834471225738525
Loja_5,Item_10,2.8104143142700195,0.1171259880065918
Loja_6,Item_11,2.675822257995605,0.1173059940338134
Loja_6,Item_12,2.675865411758423,0.1172318458557128
Loja_7,Item_13,3.060463190078736,0.1173653602600097
Loja_7,Item_14,2.7095839977264404,0.1336860656738281
Loja_8,Item_15,2.708703756332397,0.1175971031188964
Loja_8,Item_16,2.6660497188568115,0.1329188346862793
Loja_9,Item_17,2.6564009189605717,0.1462514400482177
Loja_9,Item_18,2.6424949169158936,0.1172072887420654
Loja_10,Item_19,2.675800323486328,0.1320822238922119
Loja_10,Item_20,2.8765385150909424,0.1173036098480224
