Loja,Item,Treino,Previsao
Loja_1,Item_1,0.5665926933288574,0.0453035831451416
Loja_1,Item_2,0.3458361625671386,0.049285888671875
Loja_2,Item_3,0.3518881797790527,0.0282926559448242
Loja_2,Item_4,0.3403918743133545,0.0438981056213378
Loja_3,Item_5,0.5899338722229004,0.0334525108337402
Loja_3,Item_6,0.4171700477600097,0.0341577529907226
Loja_4,Item_7,0.2997043132781982,0.0350141525268554
Loja_4,Item_8,0.3343098163604736,0.0336091518402099
Loja_5,Item_9,0.5517821311950684,0.0336668491363525
Loja_5,Item_10,0.4509077072143554,0.0360145568847656
Loja_6,Item_11,0.5185744762420654,0.033219575881958
Loja_6,Item_12,0.5183448791503906,0.0338423252105712
Loja_7,Item_13,0.3261957168579101,0.042168378829956
Loja_7,Item_14,0.5505890846252441,0.0354681015014648
Loja_8,Item_15,0.6836631298065186,0.035517930984497
Loja_8,Item_16,0.4851837158203125,0.0517535209655761
Loja_9,Item_17,0.462498664855957,0.0443110466003418
Loja_9,Item_18,0.7246298789978027,0.0444831848144531
Loja_10,Item_19,0.6987409591674805,0.0337660312652587
Loja_10,Item_20,0.3677587509155273,0.0340664386749267
