Loja,Item,Treino,Previsao
Loja_1,Item_1,12.763350248336792,0.9014489650726318
Loja_1,Item_2,12.297360181808472,0.606503963470459
Loja_2,Item_3,12.46764588356018,0.6037485599517822
Loja_2,Item_4,12.85215449333191,0.5677878856658936
Loja_3,Item_5,11.96313500404358,0.5596601963043213
Loja_3,Item_6,12.256474256515505,0.645688533782959
Loja_4,Item_7,11.4292311668396,0.5238358974456787
Loja_4,Item_8,10.71645212173462,0.5360157489776611
Loja_5,Item_9,12.06414556503296,0.5334920883178711
Loja_5,Item_10,10.00635838508606,0.5402083396911621
Loja_6,Item_11,11.90926957130432,0.5178723335266113
Loja_6,Item_12,6.569930791854858,0.5086245536804199
Loja_7,Item_13,11.559002876281738,0.6189885139465332
Loja_7,Item_14,13.469916343688965,0.5690064430236816
Loja_8,Item_15,11.93304705619812,0.5620105266571045
Loja_8,Item_16,11.533323287963867,0.6097848415374756
Loja_9,Item_17,9.912648916244509,0.5622208118438721
Loja_9,Item_18,10.35032868385315,0.5352330207824707
Loja_10,Item_19,11.660794734954834,0.5362842082977295
Loja_10,Item_20,12.395659446716309,0.6049425601959229
