Loja,Item,Treino,Previsao
44,1047679,0.19695425033569336,0.06757235527038574
44,1503844,0.1745133399963379,0.04192781448364258
45,1503844,0.16789031028747559,0.04770207405090332
45,1473474,0.17042040824890137,0.04772782325744629
47,1503844,0.15210390090942383,0.06312894821166992
47,1047679,0.17398381233215332,0.04792332649230957
3,1047679,0.1672215461730957,0.0642240047454834
3,1503844,0.18133211135864258,0.059123992919921875
49,1503844,0.16761541366577148,0.06724834442138672
49,1473474,0.17326784133911133,0.0521543025970459
46,584028,0.16745495796203613,0.07665085792541504
46,1463992,0.15039443969726562,0.05251336097717285
48,584028,0.17426824569702148,0.06044912338256836
48,1463992,0.23363423347473145,0.04166746139526367
51,1503844,0.18235039710998535,0.05367255210876465
51,257847,0.18874645233154297,0.07338070869445801
8,1503844,0.19808745384216309,0.050974130630493164
8,1047679,0.2336711883544922,0.1042947769165039
50,584028,0.2300121784210205,0.0690460205078125
50,364606,0.21668267250061035,0.08270668983459473
