Loja,Item,Treino,Previsao
3,1047679,4.8638410568237305,0.13684892654418945
3,1503844,3.8533661365509033,0.1268455982208252
8,1503844,3.7130064964294434,0.15613174438476562
8,1047679,4.586229085922241,0.16270089149475098
44,1047679,4.6665942668914795,0.16637182235717773
44,1503844,3.0964062213897705,0.15638446807861328
45,1503844,3.4582297801971436,0.11706137657165527
45,1473474,3.4454596042633057,0.15469074249267578
46,584028,4.619906663894653,0.12581753730773926
46,1463992,3.8133385181427,0.13214421272277832
47,1503844,3.612597942352295,0.13360881805419922
47,1047679,4.666258811950684,0.11977982521057129
48,584028,4.432441234588623,0.12243270874023438
48,1463992,3.5292277336120605,0.17517733573913574
49,1503844,3.6126346588134766,0.11719727516174316
49,1473474,4.534551382064819,0.13162684440612793
50,584028,4.735182762145996,0.1816389560699463
50,364606,4.7167649269104,0.1688840389251709
51,1503844,4.079782247543335,0.15657305717468262
51,257847,4.8926122188568115,0.1511242389678955
