Loja,Item,Treino,Previsao
CA_1,FOODS_3_090,16.059194803237915,0.006000518798828125
CA_1,FOODS_3_586,628.1622312068939,0.06354761123657227
CA_2,FOODS_3_586,124.99460101127625,0.008916616439819336
CA_2,FOODS_3_252,445.39992356300354,0.06153535842895508
CA_3,FOODS_3_090,263.23959040641785,0.011529922485351562
CA_3,FOODS_3_586,739.1511595249176,0.010502338409423828
CA_4,FOODS_3_090,18.438220024108887,0.004633665084838867
CA_4,FOODS_3_586,13.767007112503052,0.006957530975341797
TX_1,FOODS_3_586,241.23509454727173,0.008551836013793945
TX_1,FOODS_3_090,9.731170892715454,0.004495382308959961
TX_2,FOODS_3_586,378.3313019275665,0.009006500244140625
TX_2,FOODS_3_090,32.293246030807495,0.008002042770385742
TX_3,FOODS_3_586,219.40086364746094,0.009003639221191406
TX_3,FOODS_3_090,307.4641878604889,0.00899958610534668
WI_1,FOODS_3_226,545.2796683311462,0.05401349067687988
WI_1,FOODS_3_694,417.78330636024475,0.05573129653930664
WI_2,FOODS_3_226,381.70415782928467,0.010702371597290039
WI_2,FOODS_3_694,246.3099627494812,0.010001420974731445
WI_3,FOODS_3_090,249.44358491897583,0.05539107322692871
WI_3,FOODS_3_226,203.9412579536438,0.008016824722290039
