Loja,Item,Treino,Previsao
CA_1,FOODS_3_090,0.20333433151245117,0.06462597846984863
CA_1,FOODS_3_586,0.19443821907043457,0.07272100448608398
CA_2,FOODS_3_586,0.18841004371643066,0.0671994686126709
CA_2,FOODS_3_252,0.20063257217407227,0.060158491134643555
CA_3,FOODS_3_090,0.19713401794433594,0.06739258766174316
CA_3,FOODS_3_586,0.1826319694519043,0.07112550735473633
CA_4,FOODS_3_090,0.18342876434326172,0.06705236434936523
CA_4,FOODS_3_586,0.287564754486084,0.16081500053405762
TX_1,FOODS_3_586,0.24932527542114258,0.10171699523925781
TX_1,FOODS_3_090,0.18462920188903809,0.1005854606628418
TX_2,FOODS_3_586,0.20277190208435059,0.08123660087585449
TX_2,FOODS_3_090,0.3549063205718994,0.14699339866638184
TX_3,FOODS_3_586,0.1549234390258789,0.06241869926452637
TX_3,FOODS_3_090,0.19893860816955566,0.06904840469360352
WI_1,FOODS_3_226,0.27069616317749023,0.09740495681762695
WI_1,FOODS_3_694,0.25060582160949707,0.09979009628295898
WI_2,FOODS_3_226,0.20865917205810547,0.10288763046264648
WI_2,FOODS_3_694,0.21753430366516113,0.08361506462097168
WI_3,FOODS_3_090,0.18987178802490234,0.06076669692993164
WI_3,FOODS_3_226,0.2084343433380127,0.059288978576660156
