Modelo,Base,Tipo,Treino,Previsao,RMSE,MAPE,Loja,Item
CNN,M5,Loja,5.16,0.13,2824,8.89,TX_3,Todos
LSMT,M5,Loja,10.97,0.52,1462,4.26,TX_3,Todos
Prophet,M5,Loja,0.2,0.06,1945,5.71,TX_3,Todos
ARIMA,M5,Loja,34.56,0.01,2441,8.52,WI_1,Todos
CNN,M5,Loja,5.24,0.12,4056,15.12,WI_1,Todos
LSMT,M5,Loja,10.88,0.52,1539,4.59,WI_1,Todos
Prophet,M5,Loja,0.18,0.1,2827,9.97,WI_1,Todos
ARIMA,M5,Loja,841.4,0.07,3185,7.67,WI_2,Todos
CNN,M5,Loja,5.57,0.14,6381,14.99,WI_2,Todos
LSMT,M5,Loja,11.4,0.85,2613,6.55,WI_2,Todos
Prophet,M5,Loja,0.21,0.07,5070,14.3,WI_2,Todos
ARIMA,M5,Loja,499.17,0.01,4794,15.69,WI_3,Todos
CNN,M5,Loja,5.23,0.12,3064,9.85,WI_3,Todos
LSMT,M5,Loja,17.76,0.5,1674,5.48,WI_3,Todos
Prophet,M5,Loja,0.16,0.07,9380,31.89,WI_3,Todos
ARIMA,Olist,Loja,26.37,0.01,19,84.43,Loja_1,Todos
CNN,Olist,Loja,2.74,0.12,18,41.19,Loja_1,Todos
LSMT,Olist,Loja,12.18,0.58,18,56.38,Loja_1,Todos
Prophet,Olist,Loja,0.69,0.04,23,91.35,Loja_1,Todos
ARIMA,Olist,Loja,21.01,0.01,25,489.15,Loja_10,Todos
CNN,Olist,Loja,2.94,0.13,7,126.1,Loja_10,Todos
LSMT,Olist,Loja,12.2,0.56,5,86.39,Loja_10,Todos
Prophet,Olist,Loja,0.4,0.05,45,800.3,Loja_10,Todos
ARIMA,Olist,Loja,20.68,0.01,32,178.85,Loja_2,Todos
CNN,Olist,Loja,2.66,0.13,14,83.16,Loja_2,Todos
LSMT,Olist,Loja,11.44,0.59,14,79.43,Loja_2,Todos
Prophet,Olist,Loja,0.55,0.03,271,903.73,Loja_2,Todos
ARIMA,Olist,Loja,23.78,0.01,36,252.61,Loja_3,Todos
CNN,Olist,Loja,2.69,0.12,17,90.66,Loja_3,Todos
LSMT,Olist,Loja,11.57,0.57,75,302.18,Loja_3,Todos
Prophet,Olist,Loja,0.45,0.05,36,177.35,Loja_3,Todos
ARIMA,Olist,Loja,28.08,0.01,44,537.88,Loja_4,Todos
CNN,Olist,Loja,2.69,0.13,11,96.52,Loja_4,Todos
LSMT,Olist,Loja,11.93,0.56,81,438.95,Loja_4,Todos
Prophet,Olist,Loja,0.53,0.04,46,555.78,Loja_4,Todos
ARIMA,Olist,Loja,36.85,0.01,25,146.89,Loja_5,Todos
CNN,Olist,Loja,2.61,0.12,9,39.55,Loja_5,Todos
LSMT,Olist,Loja,11.73,0.64,121,491.76,Loja_5,Todos
Prophet,Olist,Loja,0.5,0.04,18,85.04,Loja_5,Todos
ARIMA,Olist,Loja,27.57,0.01,47,212.81,Loja_6,Todos
CNN,Olist,Loja,2.66,0.12,23,64.61,Loja_6,Todos
LSMT,Olist,Loja,12.05,0.56,349,1304.11,Loja_6,Todos
Prophet,Olist,Loja,0.8,0.03,88,210.18,Loja_6,Todos
ARIMA,Olist,Loja,8.22,0.01,16,6.32e+17,Loja_7,Todos
CNN,Olist,Loja,2.62,0.15,14,7.05e+17,Loja_7,Todos
LSMT,Olist,Loja,12.0,0.62,113,6.27e+18,Loja_7,Todos
