Série Temporal,RMSE,MAPE,Treino,Previsao
Favorita_Loja_45_Todos_CNN,46551,12.3,3.9,0.17
Favorita_Loja_45_Todos_LSTM,27263,7.0,9.8,0.5
Favorita_Loja_45_Todos_Prophet,42673,12.7,0.2,0.1
Favorita_Loja_46_Todos_ARIMA,26582,10.5,286.6,0.02
Favorita_Loja_46_Todos_CNN,35168,12.2,4.7,0.17
Favorita_Loja_46_Todos_LSTM,23287,8.0,10.8,0.5
Favorita_Loja_46_Todos_Prophet,29950,12.2,0.2,0.06
Favorita_Loja_47_Todos_ARIMA,30369,10.1,734.6,0.02
Favorita_Loja_47_Todos_CNN,36456,10.0,4.5,0.13
Favorita_Loja_47_Todos_LSTM,25796,6.9,6.0,0.51
Favorita_Loja_47_Todos_Prophet,37517,12.1,0.2,0.11
Favorita_Loja_48_Todos_ARIMA,21233,10.2,217.0,0.02
Favorita_Loja_48_Todos_CNN,27711,10.9,5.0,0.13
Favorita_Loja_48_Todos_LSTM,19904,8.4,14.7,0.5
Favorita_Loja_48_Todos_Prophet,29573,15.0,0.2,0.05
Favorita_Loja_49_Todos_ARIMA,24432,8.1,52.9,0.01
Favorita_Loja_49_Todos_CNN,37012,11.4,4.6,0.13
Favorita_Loja_49_Todos_LSTM,21812,6.8,5.8,0.52
Favorita_Loja_49_Todos_Prophet,45524,15.6,0.2,0.09
Favorita_Loja_50_Todos_ARIMA,15090,8.3,243.1,0.01
Favorita_Loja_50_Todos_CNN,21823,10.9,5.1,0.15
Favorita_Loja_50_Todos_LSTM,13764,7.2,12.0,0.52
Favorita_Loja_50_Todos_Prophet,15875,9.2,0.2,0.13
Favorita_Loja_51_Todos_ARIMA,22011,11.9,54.6,0.02
Favorita_Loja_51_Todos_CNN,12841,6.2,4.8,0.17
Favorita_Loja_51_Todos_LSTM,13378,7.0,13.5,0.5
Favorita_Loja_51_Todos_Prophet,32067,15.8,0.2,0.07
Favorita_Tudo_Todas_Todos_ARIMA,501644,7.2,59.3,0.02
Favorita_Tudo_Todas_Todos_CNN,850827,11.9,5.2,0.21
Favorita_Tudo_Todas_Todos_LSTM,497659,6.2,33.4,0.55
Favorita_Tudo_Todas_Todos_Prophet,826610,12.2,0.4,0.12
M5_Produto_CA_1_FOODS_3_090_ARIMA,399,5.6e+19,16.1,0.01
M5_Produto_CA_1_FOODS_3_090_CNN,212,3.2e+19,5.3,0.12
M5_Produto_CA_1_FOODS_3_090_LSTM,162,1.8e+19,12.6,0.54
M5_Produto_CA_1_FOODS_3_090_Prophet,214,3.0e+19,0.2,0.06
M5_Produto_CA_1_FOODS_3_586_ARIMA,50,14.7,628.2,0.06
M5_Produto_CA_1_FOODS_3_586_CNN,43,12.0,5.7,0.14
M5_Produto_CA_1_FOODS_3_586_LSTM,38,10.5,6.9,0.52
M5_Produto_CA_1_FOODS_3_586_Prophet,43,11.0,0.2,0.07
M5_Produto_CA_2_FOODS_3_252_ARIMA,84,40.4,445.4,0.06
M5_Produto_CA_2_FOODS_3_252_CNN,78,27.7,5.0,0.13
M5_Produto_CA_2_FOODS_3_252_LSTM,54,23.2,6.6,0.8
M5_Produto_CA_2_FOODS_3_252_Prophet,80,40.8,0.2,0.06
M5_Produto_CA_2_FOODS_3_586_ARIMA,121,73.7,125.0,0.01
M5_Produto_CA_2_FOODS_3_586_CNN,71,34.9,6.2,0.14
M5_Produto_CA_2_FOODS_3_586_LSTM,50,23.8,8.2,0.52
M5_Produto_CA_2_FOODS_3_586_Prophet,119,71.5,0.2,0.07
M5_Produto_CA_3_FOODS_3_090_ARIMA,419,1.7e+03,263.2,0.01
M5_Produto_CA_3_FOODS_3_090_CNN,354,827.5,5.9,0.16
M5_Produto_CA_3_FOODS_3_090_LSTM,308,790.0,22.3,0.52
M5_Produto_CA_3_FOODS_3_090_Prophet,398,1.3e+03,0.2,0.07
M5_Produto_CA_3_FOODS_3_586_ARIMA,90,17.0,739.2,0.01
M5_Produto_CA_3_FOODS_3_586_CNN,67,11.1,5.9,0.15
M5_Produto_CA_3_FOODS_3_586_LSTM,68,10.7,19.5,0.52
M5_Produto_CA_3_FOODS_3_586_Prophet,108,20.6,0.2,0.07
M5_Produto_CA_4_FOODS_3_090_ARIMA,100,1.6e+19,18.4,0.0
M5_Produto_CA_4_FOODS_3_090_CNN,86,1.1e+19,5.8,0.15
M5_Produto_CA_4_FOODS_3_090_LSTM,77,7.3e+18,12.9,0.52
M5_Produto_CA_4_FOODS_3_090_Prophet,114,1.5e+19,0.2,0.07
M5_Produto_CA_4_FOODS_3_586_ARIMA,60,72.2,13.8,0.01
M5_Produto_CA_4_FOODS_3_586_CNN,23,21.6,4.7,0.13
M5_Produto_CA_4_FOODS_3_586_LSTM,22,22.5,7.9,0.5
M5_Produto_CA_4_FOODS_3_586_Prophet,55,63.3,0.3,0.16
M5_Produto_TX_1_FOODS_3_090_ARIMA,176,2.9e+19,9.7,0.0
M5_Produto_TX_1_FOODS_3_090_CNN,147,1.9e+19,4.7,0.13
M5_Produto_TX_1_FOODS_3_090_LSTM,140,1.2e+19,22.3,0.52
M5_Produto_TX_1_FOODS_3_090_Prophet,185,2.4e+19,0.2,0.1
M5_Produto_TX_1_FOODS_3_586_ARIMA,85,23.1,241.2,0.01
M5_Produto_TX_1_FOODS_3_586_CNN,54,12.5,4.4,0.12
M5_Produto_TX_1_FOODS_3_586_LSTM,52,12.9,7.2,0.8
M5_Produto_TX_1_FOODS_3_586_Prophet,51,11.6,0.2,0.1
M5_Produto_TX_2_FOODS_3_090_ARIMA,213,3.6e+19,32.3,0.01
M5_Produto_TX_2_FOODS_3_090_CNN,230,3.5e+19,4.6,0.15
M5_Produto_TX_2_FOODS_3_090_LSTM,177,1.8e+19,28.2,0.63
M5_Produto_TX_2_FOODS_3_090_Prophet,218,3.2e+19,0.4,0.15
M5_Produto_TX_2_FOODS_3_586_ARIMA,119,17.6,378.3,0.01
M5_Produto_TX_2_FOODS_3_586_CNN,98,12.0,4.4,0.12
M5_Produto_TX_2_FOODS_3_586_LSTM,99,11.8,26.6,0.64
M5_Produto_TX_2_FOODS_3_586_Prophet,93,11.6,0.2,0.08
M5_Produto_TX_3_FOODS_3_090_ARIMA,192,3.1e+19,307.5,0.01
M5_Produto_TX_3_FOODS_3_090_CNN,206,2.9e+19,5.3,0.12
M5_Produto_TX_3_FOODS_3_090_LSTM,166,1.5e+19,26.1,0.54
M5_Produto_TX_3_FOODS_3_090_Prophet,224,3.2e+19,0.2,0.07
M5_Produto_TX_3_FOODS_3_586_ARIMA,88,14.8,219.4,0.01
M5_Produto_TX_3_FOODS_3_586_CNN,90,14.9,4.5,0.12
M5_Produto_TX_3_FOODS_3_586_LSTM,83,13.9,9.0,0.58
M5_Produto_TX_3_FOODS_3_586_Prophet,93,14.4,0.2,0.06
M5_Produto_WI_1_FOODS_3_226_ARIMA,130,45.8,545.3,0.05
M5_Produto_WI_1_FOODS_3_226_CNN,52,14.9,4.5,0.12
M5_Produto_WI_1_FOODS_3_226_LSTM,44,11.8,25.4,0.53
M5_Produto_WI_1_FOODS_3_226_Prophet,128,43.5,0.3,0.1
M5_Produto_WI_1_FOODS_3_694_ARIMA,32,21.6,417.8,0.06
M5_Produto_WI_1_FOODS_3_694_CNN,23,12.1,4.4,0.13
M5_Produto_WI_1_FOODS_3_694_LSTM,21,11.3,25.8,0.57
M5_Produto_WI_1_FOODS_3_694_Prophet,24,14.9,0.3,0.1
M5_Produto_WI_2_FOODS_3_226_ARIMA,49,16.8,381.7,0.01
M5_Produto_WI_2_FOODS_3_226_CNN,52,16.5,4.5,0.13
M5_Produto_WI_2_FOODS_3_226_LSTM,43,14.8,13.7,0.63
M5_Produto_WI_2_FOODS_3_226_Prophet,67,21.4,0.2,0.1
M5_Produto_WI_2_FOODS_3_694_ARIMA,35,14.1,246.3,0.01
M5_Produto_WI_2_FOODS_3_694_CNN,52,19.7,4.8,0.12
M5_Produto_WI_2_FOODS_3_694_LSTM,34,13.5,25.7,0.56
M5_Produto_WI_2_FOODS_3_694_Prophet,74,34.2,0.2,0.08
M5_Produto_WI_3_FOODS_3_090_ARIMA,229,2.9e+19,249.4,0.06
M5_Produto_WI_3_FOODS_3_090_CNN,189,2.2e+19,4.7,0.19
M5_Produto_WI_3_FOODS_3_090_LSTM,159,1.7e+19,19.8,0.91
M5_Produto_WI_3_FOODS_3_090_Prophet,306,2.1e+19,0.2,0.06
M5_Produto_WI_3_FOODS_3_226_ARIMA,44,11.4,203.9,0.01
M5_Produto_WI_3_FOODS_3_226_CNN,51,12.3,4.6,0.16
M5_Produto_WI_3_FOODS_3_226_LSTM,50,12.7,13.7,0.57
M5_Produto_WI_3_FOODS_3_226_Prophet,63,15.4,0.2,0.06
M5_Loja_CA_1_Todos_ARIMA,2813,7.4,538.7,0.02
M5_Loja_CA_1_Todos_CNN,2622,6.8,5.2,0.12
M5_Loja_CA_1_Todos_LSTM,1624,4.2,10.2,0.51
M5_Loja_CA_1_Todos_Prophet,1746,4.4,0.2,0.06
M5_Loja_CA_2_Todos_ARIMA,8840,25.2,1772.8,0.07
M5_Loja_CA_2_Todos_CNN,4318,12.7,5.1,0.15
M5_Loja_CA_2_Todos_LSTM,2132,6.2,8.7,0.52
M5_Loja_CA_2_Todos_Prophet,12684,36.2,0.2,0.08
M5_Loja_CA_3_Todos_ARIMA,4756,9.8,850.9,0.01
M5_Loja_CA_3_Todos_CNN,3596,6.7,5.3,0.13
M5_Loja_CA_3_Todos_LSTM,2367,4.6,9.7,0.55
M5_Loja_CA_3_Todos_Prophet,4675,9.8,0.2,0.09
M5_Loja_CA_4_Todos_ARIMA,1054,4.8,1333.9,0.06
M5_Loja_CA_4_Todos_CNN,1389,6.7,5.3,0.12
M5_Loja_CA_4_Todos_LSTM,842,3.8,8.0,0.54
M5_Loja_CA_4_Todos_Prophet,1103,4.9,0.2,0.08
M5_Loja_TX_1_Todos_ARIMA,1326,4.7,954.9,0.09
M5_Loja_TX_1_Todos_CNN,1842,6.6,5.1,0.13
M5_Loja_TX_1_Todos_LSTM,1310,4.9,10.8,0.54
M5_Loja_TX_1_Todos_Prophet,1650,6.0,0.3,0.1
M5_Loja_TX_2_Todos_ARIMA,3204,9.9,337.6,0.01
M5_Loja_TX_2_Todos_CNN,2089,6.1,5.2,0.13
M5_Loja_TX_2_Todos_LSTM,1401,4.2,6.0,0.53
M5_Loja_TX_2_Todos_Prophet,6662,21.2,0.2,0.08
M5_Loja_TX_3_Todos_ARIMA,2833,9.4,910.4,0.07
M5_Loja_TX_3_Todos_CNN,2824,8.9,5.2,0.13
M5_Loja_TX_3_Todos_LSTM,1462,4.3,11.0,0.52
M5_Loja_TX_3_Todos_Prophet,1945,5.7,0.2,0.06
M5_Loja_WI_1_Todos_ARIMA,2441,8.5,34.6,0.01
M5_Loja_WI_1_Todos_CNN,4056,15.1,5.2,0.12
M5_Loja_WI_1_Todos_LSTM,1539,4.6,10.9,0.52
M5_Loja_WI_1_Todos_Prophet,2827,10.0,0.2,0.1
M5_Loja_WI_2_Todos_ARIMA,3185,7.7,841.4,0.07
M5_Loja_WI_2_Todos_CNN,6381,15.0,5.6,0.14
M5_Loja_WI_2_Todos_LSTM,2613,6.5,11.4,0.85
M5_Loja_WI_2_Todos_Prophet,5070,14.3,0.2,0.07
M5_Loja_WI_3_Todos_ARIMA,4794,15.7,499.2,0.01
M5_Loja_WI_3_Todos_CNN,3064,9.9,5.2,0.12
M5_Loja_WI_3_Todos_LSTM,1674,5.5,17.8,0.5
M5_Loja_WI_3_Todos_Prophet,9380,31.9,0.2,0.07
M5_Tudo_Todas_Todos_ARIMA,16910,5.4,664.7,0.02
M5_Tudo_Todas_Todos_CNN,22826,6.6,6.0,0.14
M5_Tudo_Todas_Todos_LSTM,12593,3.5,11.1,0.54
M5_Tudo_Todas_Todos_Prophet,27434,8.0,0.3,0.1
Olist_Produto_Loja_1_Item_1_ARIMA,4,6.2e+17,34.1,0.01
Olist_Produto_Loja_1_Item_1_CNN,4,2.1e+17,2.7,0.13
Olist_Produto_Loja_1_Item_1_LSTM,57,1.1e+18,12.8,0.9
Olist_Produto_Loja_1_Item_1_Prophet,9,1.2e+18,0.6,0.05
Olist_Produto_Loja_1_Item_2_ARIMA,2,8.5e+16,21.5,0.01
Olist_Produto_Loja_1_Item_2_CNN,2,2.6e+16,2.7,0.13
Olist_Produto_Loja_1_Item_2_LSTM,4,1.1e+17,12.3,0.61
Olist_Produto_Loja_1_Item_2_Prophet,4,1.0e+17,0.3,0.05
Olist_Produto_Loja_10_Item_19_ARIMA,3,1.2e+18,107.7,0.01
Olist_Produto_Loja_10_Item_19_CNN,0,5.7e+16,2.7,0.13
Olist_Produto_Loja_10_Item_19_LSTM,0,2.3e+17,11.7,0.54
Olist_Produto_Loja_10_Item_19_Prophet,9,3.3e+18,0.7,0.03
Olist_Produto_Loja_10_Item_20_ARIMA,2,9.3e+17,195.5,0.01
Olist_Produto_Loja_10_Item_20_CNN,0,1.8e+17,2.9,0.12
Olist_Produto_Loja_10_Item_20_LSTM,1,1.9e+17,12.4,0.6
Olist_Produto_Loja_10_Item_20_Prophet,9,3.4e+18,0.4,0.03
Olist_Produto_Loja_2_Item_3_ARIMA,11,1.4e+18,22.0,0.01
Olist_Produto_Loja_2_Item_3_CNN,3,5.0e+17,2.7,0.14
Olist_Produto_Loja_2_Item_3_LSTM,4,3.0e+17,12.5,0.6
Olist_Produto_Loja_2_Item_3_Prophet,24,2.5e+18,0.4,0.03
Olist_Produto_Loja_2_Item_4_ARIMA,3,4.5e+17,21.7,0.01
Olist_Produto_Loja_2_Item_4_CNN,1,2.4e+17,2.7,0.12
Olist_Produto_Loja_2_Item_4_LSTM,2,3.9e+17,12.9,0.57
Olist_Produto_Loja_2_Item_4_Prophet,4,5.7e+17,0.3,0.04
Olist_Produto_Loja_3_Item_5_ARIMA,10,5.6e+17,23.6,0.01
Olist_Produto_Loja_3_Item_5_CNN,8,4.0e+17,2.6,0.12
Olist_Produto_Loja_3_Item_5_LSTM,94,2.0e+18,12.0,0.56
Olist_Produto_Loja_3_Item_5_Prophet,10,3.5e+17,0.6,0.03
Olist_Produto_Loja_3_Item_6_ARIMA,5,3.8e+17,4.3,0.01
Olist_Produto_Loja_3_Item_6_CNN,4,3.0e+17,2.7,0.12
Olist_Produto_Loja_3_Item_6_LSTM,11,2.7e+17,12.3,0.65
Olist_Produto_Loja_3_Item_6_Prophet,7,2.5e+17,0.4,0.03
Olist_Produto_Loja_4_Item_7_ARIMA,8,2.0e+18,21.0,0.01
Olist_Produto_Loja_4_Item_7_CNN,1,3.6e+17,2.9,0.12
Olist_Produto_Loja_4_Item_7_LSTM,3,6.1e+17,11.4,0.52
Olist_Produto_Loja_4_Item_7_Prophet,11,2.2e+18,0.3,0.04
Olist_Produto_Loja_4_Item_8_ARIMA,4,1.2e+17,4.1,0.01
Olist_Produto_Loja_4_Item_8_CNN,1,2.4e+16,2.7,0.16
Olist_Produto_Loja_4_Item_8_LSTM,4,9.5e+16,10.7,0.54
Olist_Produto_Loja_4_Item_8_Prophet,5,1.3e+17,0.3,0.03
